epoch,binary_accuracy,dice_coef,iou,loss,val_binary_accuracy,val_dice_coef,val_iou,val_loss
0,0.407693267,0.577426732,0.406835705,-0.577426732,0.410641044,0.581081867,0.410917342,-0.581081808
1,0.409624487,0.579343677,0.408438832,-0.579343677,0.410698771,0.579210758,0.40881449,-0.579210818
2,0.541910172,0.629621804,0.462996274,-0.629621804,0.799551308,0.766074479,0.621584713,-0.766074538
3,0.849011958,0.81854409,0.693782389,-0.81854409,0.876678884,0.851710558,0.742003143,-0.851710439
4,0.88002795,0.853972316,0.745555639,-0.853972316,0.888750792,0.861064017,0.756716013,-0.861063957
5,0.887030363,0.86183542,0.75756377,-0.86183542,0.890633881,0.868439496,0.767961085,-0.868439496
6,0.891427755,0.867783785,0.766709805,-0.867783785,0.895119727,0.871968508,0.773361564,-0.871968269
7,0.893878579,0.870661497,0.771214783,-0.870661497,0.897713721,0.873279691,0.775436759,-0.873279631
8,0.8967098,0.874081492,0.776588082,-0.874081492,0.899517,0.876779616,0.780922115,-0.876779497
9,0.89840287,0.87633127,0.78019172,-0.87633127,0.900753081,0.876083434,0.779839098,-0.876083374
10,0.900578439,0.878971934,0.784285188,-0.878971934,0.901149154,0.879450977,0.785424948,-0.879450977
11,0.902433097,0.881047308,0.787665963,-0.881047308,0.900214911,0.881092966,0.787782907,-0.881092846
12,0.90376997,0.882751286,0.790293992,-0.882751286,0.903391004,0.882524133,0.790156305,-0.882524252
13,0.904936433,0.884213328,0.792712688,-0.884213328,0.905052185,0.88269186,0.790506124,-0.882691979
14,0.906502247,0.886000514,0.795586705,-0.886000514,0.905156136,0.885280848,0.794455349,-0.885280848
15,0.907156825,0.886769712,0.796814024,-0.886769712,0.906386971,0.883814633,0.792292416,-0.883814514
16,0.907216549,0.887161255,0.797469676,-0.887161255,0.907128572,0.886607468,0.796748042,-0.886607587
17,0.909311473,0.889527917,0.801304877,-0.889527917,0.908191323,0.886426032,0.796373546,-0.886426032
18,0.910140693,0.890335381,0.802645087,-0.890335381,0.908843637,0.888035536,0.798830867,-0.888035595
19,0.911177218,0.891562283,0.804576516,-0.891562283,0.909875333,0.888905764,0.800306559,-0.888905406
20,0.911516726,0.892169714,0.805540979,-0.892169714,0.909620345,0.889992714,0.802164316,-0.889992833
21,0.912610233,0.893385231,0.807525992,-0.893385231,0.910020292,0.890526891,0.803078711,-0.890526891
22,0.913523614,0.894536376,0.809446931,-0.894536376,0.904783189,0.887431383,0.798134387,-0.887431145
23,0.913346469,0.894421995,0.809202194,-0.894421995,0.911100745,0.890281439,0.802842915,-0.890281498
24,0.914478421,0.895754099,0.811454535,-0.895754099,0.91090548,0.890837669,0.803599656,-0.890837789
25,0.915720165,0.897087872,0.813632131,-0.897087872,0.911540449,0.890435219,0.802737594,-0.8904351
26,0.916032076,0.897433758,0.814146399,-0.897433758,0.906000257,0.888749957,0.800198615,-0.888750136
27,0.917146385,0.898879528,0.816539824,-0.898879528,0.91222322,0.89358902,0.808042526,-0.893589199
28,0.919303298,0.901328206,0.820661485,-0.901328206,0.912543297,0.892513812,0.806313813,-0.892513633
29,0.919748843,0.9020437,0.821749866,-0.9020437,0.912719727,0.89401257,0.808690012,-0.894012511
30,0.920242429,0.902657747,0.822745204,-0.902657747,0.91007942,0.89261508,0.806377292,-0.89261508
31,0.921005905,0.903546691,0.82426393,-0.903546691,0.913585246,0.894525647,0.809352636,-0.894525588
32,0.921402752,0.904042304,0.825086892,-0.904042304,0.913818181,0.89417243,0.80902797,-0.89417243
33,0.922923744,0.905941606,0.828229725,-0.905941606,0.91375047,0.894496083,0.809422135,-0.894496083
34,0.923603714,0.906787276,0.829623342,-0.906787276,0.914881051,0.896765292,0.813281298,-0.896765292
35,0.924494088,0.907720804,0.831205666,-0.907720804,0.914916933,0.896599352,0.813134372,-0.896599412
36,0.92491591,0.908284783,0.832172453,-0.908284783,0.914689183,0.893707514,0.808164656,-0.893707514
37,0.924144864,0.907413423,0.830693364,-0.907413423,0.915385544,0.895596266,0.811279535,-0.895596504
38,0.926206112,0.909991086,0.83501792,-0.909991086,0.916014016,0.896112025,0.812102914,-0.896111906
39,0.926783383,0.910504699,0.835883915,-0.910504699,0.915406942,0.895679235,0.811461926,-0.895679235
40,0.928026736,0.911916196,0.838255525,-0.911916196,0.915867209,0.897240102,0.814013183,-0.897240281
41,0.92816627,0.912198186,0.838738918,-0.912198186,0.917075157,0.897904515,0.8149786,-0.897904515
42,0.928794742,0.912795544,0.839763522,-0.912795544,0.914937854,0.897187769,0.813966393,-0.89718765
43,0.92940712,0.913731813,0.841342866,-0.913731813,0.916839004,0.896291435,0.812380373,-0.896291435
44,0.930287242,0.914789855,0.843171299,-0.914789855,0.916336417,0.898122668,0.8153584,-0.898122668
45,0.931438088,0.916164041,0.845438302,-0.916164041,0.916192651,0.898615181,0.816286385,-0.898615539
46,0.930724204,0.915367186,0.844087005,-0.915367186,0.917360067,0.898401916,0.815960228,-0.898401916
47,0.932558119,0.917519271,0.847730339,-0.917519271,0.917225838,0.897474289,0.814323008,-0.897474229
48,0.932186842,0.91718328,0.847213984,-0.91718328,0.91606003,0.89898175,0.816726685,-0.898981631
49,0.933457613,0.918433189,0.849381208,-0.918433189,0.914435327,0.897748947,0.814829051,-0.897748828
